index,n,epsilon,d,m,k,t,t_multiplier,repeat,time_mu_s,model_error
306,1000,0.50,500,2,17,1.0000,2.0,6,193.00,0.158353
307,1000,0.50,500,2,17,1.0000,2.0,7,368.00,0.437582
308,1000,0.50,500,2,17,1.0000,2.0,8,341.00,0.322004
309,1000,0.50,500,2,17,1.0000,2.0,9,334.00,0.318265
310,1000,0.50,500,2,17,1.0000,2.0,10,347.00,0.077613
311,1000,0.50,500,2,17,1.0000,2.0,11,380.00,0.320594
312,1000,0.50,500,2,17,1.0000,2.0,12,342.00,0.620502
313,1000,0.50,500,2,17,1.0000,2.0,13,346.00,0.501512
314,1000,0.50,500,2,17,1.0000,2.0,14,333.00,0.759538
315,1000,0.50,500,2,17,1.0000,2.0,15,285.00,0.370338
316,1000,0.50,500,2,17,1.0000,2.0,16,340.00,0.226240
317,1000,0.50,500,2,17,1.0000,2.0,17,326.00,0.121905
318,1000,0.50,500,2,17,1.0000,2.0,18,247.00,0.552777
319,1000,0.50,500,2,17,1.0000,2.0,19,346.00,0.454872
320,1000,0.50,500,2,17,1.0000,2.0,20,333.00,0.387220
321,1000,0.50,500,2,17,1.0000,2.0,21,271.00,0.336930
322,1000,0.50,500,2,17,1.0000,2.0,22,336.00,0.058121
323,1000,0.50,500,2,17,1.0000,2.0,23,336.00,0.084350
324,1000,0.50,500,2,17,1.0000,2.0,24,362.00,0.224199
325,1000,0.50,500,2,17,1.0000,2.0,25,333.00,0.199823
326,1000,0.50,500,2,17,1.0000,2.0,26,342.00,0.197943
327,1000,0.50,500,2,17,1.0000,2.0,27,374.00,0.571013
328,1000,0.50,500,2,17,1.0000,2.0,28,350.00,0.358370
329,1000,0.50,500,2,17,1.0000,2.0,29,266.00,0.245848
330,1000,0.50,500,2,17,1.0000,2.0,30,334.00,1.042141
331,1000,0.50,500,2,17,1.0000,2.0,31,324.00,0.153563
332,1000,0.50,500,2,17,1.0000,2.0,32,311.00,0.551697
333,1000,0.50,500,2,17,1.0000,2.0,33,297.00,0.097692
334,1000,0.50,500,2,17,1.0000,2.0,34,316.00,0.022264
335,1000,0.50,500,2,17,1.0000,2.0,35,349.00,0.474505
336,1000,0.50,500,2,17,1.0000,2.0,36,355.00,0.042982
337,1000,0.50,500,2,17,1.0000,2.0,37,360.00,0.367006
338,1000,0.50,500,2,17,1.0000,2.0,38,344.00,0.284513
339,1000,0.50,500,2,17,1.0000,2.0,39,340.00,0.568614
340,1000,0.50,500,2,17,1.0000,2.0,40,336.00,0.222454
341,1000,0.50,500,2,17,1.0000,2.0,41,366.00,0.095593
342,1000,0.50,500,2,17,1.0000,2.0,42,363.00,1.385990
343,1000,0.50,500,2,17,1.0000,2.0,43,303.00,0.312061
344,1000,0.50,500,2,17,1.0000,2.0,44,343.00,0.134198
345,1000,0.50,500,2,17,1.0000,2.0,45,363.00,3.222287
346,1000,0.50,500,2,17,1.0000,2.0,46,342.00,0.518078
347,1000,0.50,500,2,17,1.0000,2.0,47,314.00,0.096482
348,1000,0.50,500,2,17,1.0000,2.0,48,329.00,0.134883
349,1000,0.50,500,2,17,1.0000,2.0,49,385.00,0.489902
350,1000,0.50,500,2,17,1.0000,2.0,50,355.00,0.633588
351,1000,0.50,500,2,17,1.0000,2.0,51,324.00,0.817081
352,1000,0.50,500,2,17,1.0000,2.0,52,366.00,0.293216
353,1000,0.50,500,2,17,1.0000,2.0,53,383.00,0.248951
354,1000,0.50,500,2,17,1.0000,2.0,54,359.00,1.860792
355,1000,0.50,500,2,17,1.0000,2.0,55,362.00,0.138819
356,1000,0.50,500,2,17,1.0000,2.0,56,339.00,0.124804
357,1000,0.50,500,2,17,1.0000,2.0,57,424.00,0.558823
358,1000,0.50,500,2,17,1.0000,2.0,58,354.00,0.098520
359,1000,0.50,500,2,17,1.0000,2.0,59,334.00,0.423877
360,1000,0.50,500,2,17,1.0000,2.0,60,397.00,1.335443
361,1000,0.50,500,2,17,1.0000,2.0,61,355.00,0.379419
362,1000,0.50,500,2,17,1.0000,2.0,62,341.00,0.052430
363,1000,0.50,500,2,17,1.0000,2.0,63,379.00,0.189631
364,1000,0.50,500,2,17,1.0000,2.0,64,362.00,0.071430
365,1000,0.50,500,2,17,1.0000,2.0,65,340.00,0.362656
366,1000,0.50,500,2,17,1.0000,2.0,66,344.00,0.156763
367,1000,0.50,500,2,17,1.0000,2.0,67,355.00,0.197502
368,1000,0.50,500,2,17,1.0000,2.0,68,351.00,0.347806
369,1000,0.50,500,2,17,1.0000,2.0,69,347.00,0.088791
370,1000,0.50,500,2,17,1.0000,2.0,70,347.00,0.169993
371,1000,0.50,500,2,17,1.0000,2.0,71,377.00,0.313034
372,1000,0.50,500,2,17,1.0000,2.0,72,344.00,0.270101
373,1000,0.50,500,2,17,1.0000,2.0,73,349.00,0.468466
374,1000,0.50,500,2,17,1.0000,2.0,74,375.00,0.119955
375,1000,0.50,500,2,17,1.0000,2.0,75,383.00,0.140019
376,1000,0.50,500,2,17,1.0000,2.0,76,323.00,0.147101
377,1000,0.50,500,2,17,1.0000,2.0,77,362.00,0.181033
378,1000,0.50,500,2,17,1.0000,2.0,78,384.00,0.897057
379,1000,0.50,500,2,17,1.0000,2.0,79,398.00,0.529421
380,1000,0.50,500,2,17,1.0000,2.0,80,350.00,0.439683
381,1000,0.50,500,2,17,1.0000,2.0,81,387.00,0.716011
382,1000,0.50,500,2,17,1.0000,2.0,82,337.00,0.226537
383,1000,0.50,500,2,17,1.0000,2.0,83,358.00,0.174310
384,1000,0.50,500,2,17,1.0000,2.0,84,338.00,0.492830
385,1000,0.50,500,2,17,1.0000,2.0,85,358.00,0.064817
386,1000,0.50,500,2,17,1.0000,2.0,86,420.00,4.120889
387,1000,0.50,500,2,17,1.0000,2.0,87,383.00,1.761315
388,1000,0.50,500,2,17,1.0000,2.0,88,324.00,0.288018
389,1000,0.50,500,2,17,1.0000,2.0,89,372.00,0.289962
390,1000,0.50,500,2,17,1.0000,2.0,90,363.00,0.702755
391,1000,0.50,500,2,17,1.0000,2.0,91,387.00,0.640397
